title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,url,categoryName,address,location,latitude,longitude,prices
Shiokaze Park,3.9,1478,1 Higashiyashio,Shinagawa,Tokyo,JP,http://www.tptc.co.jp/park/01_03,+81 3-5500-0385,Tourist attraction,Park,,,,,,https://www.google.com/maps/search/?api=1&query=Shiokaze%20Park&query_place_id=ChIJo9rFlRyKGGARxGX4YMCH2dA,Tourist attraction,"1 Higashiyashio, Shinagawa, Tokyo, Japan","東八潮, 品川区, 東京都, 135-0092, 日本",35.6226765,139.7700345,0
Japan's Top 100 Streets (Ginza 3-chome),4.2,10,3 Chome-6 Ginza,Chuo,Tokyo,JP,,,Tourist attraction,,,,,,,https://www.google.com/maps/search/?api=1&query=Japan's%20Top%20100%20Streets%20(Ginza%203-chome)&query_place_id=ChIJq59OWdWLGGAR_xmE8GbhogI,Tourist attraction,"3 Chome-6 Ginza, Chuo, Tokyo, Japan","松屋銀座, 1, 銀座三丁目, 銀座, 中央区, 東京都, 104-8130, 日本",35.6724036,139.7667794,0
TOKYO TOWER TOURIST INFORMATION CENTER,4.5,24,4 Chome-2-8 Shibakoen,Minato,Tokyo,JP,,+81 3-6435-4661,Tourist information center,,,,,,,https://www.google.com/maps/search/?api=1&query=TOKYO%20TOWER%20TOURIST%20INFORMATION%20CENTER&query_place_id=ChIJpUKFkL2LGGARd0tKtiugUbw,Tourist information center,"4 Chome-2-8 Shibakoen, Minato, Tokyo, Japan","芝公園二丁目, 芝公園, 港区, 東京都, 105-8582, 日本",35.6551452,139.7516459,0
Tokyo Dome,4.3,49456,1 Chome-3-61 Koraku,Bunkyo,Tokyo,JP,https://www.tokyo-dome.co.jp/dome/,,Tourist attraction,Baseball field,Fairground,Stadium,,,,https://www.google.com/maps/search/?api=1&query=Tokyo%20Dome&query_place_id=ChIJ89TugkeMGGARDmSeJIiyWFA,Tourist attraction,"1 Chome-3-61 Koraku, Bunkyo, Tokyo, Japan","東京ドーム, 61, 後楽一丁目, 後楽, 文京区, 東京都, 112-0004, 日本",35.7055706,139.7519705,0
Hachiko Square,4.3,1435,2 Chome-1 Dogenzaka,Shibuya,Tokyo,JP,,+81 3-3463-1211,Park,,,,,,,https://www.google.com/maps/search/?api=1&query=Hachiko%20Square&query_place_id=ChIJZ5YbSXiLGGAR2bi7lKs5Wh0,Park,"2 Chome-1 Dogenzaka, Shibuya, Tokyo, Japan","Bunkamura, 1, 道玄坂二丁目, 道玄坂, 渋谷区, 東京都, 150-8507, 日本",35.6606997,139.695148,0
Yebisu Brewery Tokyo,4.3,4555,"Ebisu, 4 Chome−20−1 ガーデンプレイス 内",Shibuya,Tokyo,JP,http://www.sapporobeer.jp/brewery/y_museum/index.html,+81 3-5423-7255,Tourist attraction,Bar,Heritage museum,Technology museum,Museum,,,https://www.google.com/maps/search/?api=1&query=Yebisu%20Brewery%20Tokyo&query_place_id=ChIJY24wMRSLGGARdbDv6D2KdHE,Tourist attraction,"Ebisu, 4 Chome−20−1 ガーデンプレイス 内, Shibuya, Tokyo, Japan","恵比寿, 駒沢通り, 恵比寿西一丁目, 恵比寿西, 渋谷区, 東京都, 150-0021, 日本",35.6469875,139.7086263,0
Samurai Ninja Museum Asakusa Tokyo,4.9,17801,1 Chome-8-13 Nishiasakusa,Taito,Tokyo,JP,https://mai-ko.com/samurai/,+81 3-5830-3888,Tourist attraction,Museum,,,,,,https://www.google.com/maps/search/?api=1&query=Samurai%20Ninja%20Museum%20Asakusa%20Tokyo&query_place_id=ChIJm6kfD4IJAWAR8e9bSVIKXXc,Tourist attraction,"1 Chome-8-13 Nishiasakusa, Taito, Tokyo, Japan","SAMURAI NINJA MUSEUM TOKYO With Experience, 13, 西浅草一丁目, 西浅草, 台東区, 東京都, 111-0035, 日本",35.711573,139.7917829,3300
Maple Valley,4.3,282,4 Chome-3 Shibakoen,Minato,Tokyo,JP,https://www.kissport.or.jp/spot/tanbou/2111/,+81 3-3431-4359,Tourist attraction,Park,,,,,,https://www.google.com/maps/search/?api=1&query=Maple%20Valley&query_place_id=ChIJwaj1yL2LGGARnm1x4JwnHe8,Tourist attraction,"4 Chome-3 Shibakoen, Minato, Tokyo, Japan","32芝公園ビル, 30, 芝公園三丁目, 芝公園, 港区, 東京都, 105-0011, 日本",35.6588228,139.74642,0
Ginza Central Street,4.5,78,"Ginza, 3 Chome−6, 中央通り",Chuo,Tokyo,JP,,,Tourist attraction,,,,,,,https://www.google.com/maps/search/?api=1&query=Ginza%20Central%20Street&query_place_id=ChIJRQ2BJ-SLGGARBo5lWSuc-jM,Tourist attraction,"Ginza, 3 Chome−6, 中央通り, Chuo, Tokyo, Japan","東銀座, 昭和通り, 銀座四丁目, 銀座, 中央区, 東京都, 104-0061, 日本",35.6698189,139.7672583,0
Sky Bus Tokyo Marunouchi Ticket Counter,4.1,87,"Marunouchi, 2 Chome−5−2 Mitsubishi Building, １階",Chiyoda,Tokyo,JP,https://www.skybus.jp/?utm_source=skygmap&utm_medium=skygmap&utm_campaign=skygmap,+81 3-3215-0008,Tourist attraction,Bus company,Bus tour agency,Event ticket seller,Ticket office,,,https://www.google.com/maps/search/?api=1&query=Sky%20Bus%20Tokyo%20Marunouchi%20Ticket%20Counter&query_place_id=ChIJm-8yGPqLGGARSYfAiNpcJfM,Tourist attraction,"Marunouchi, 2 Chome−5−2 Mitsubishi Building, １階, Chiyoda, Tokyo, Japan","丸の内, 千代田区, 東京都, 100-0005, 日本",35.6790703,139.7652988,2200
Asakusa Culture Tourist Information Center,4.5,4258,"Kaminarimon, 2 Chome−18−9 浅草文化観光センタ",Taito,Tokyo,JP,https://www.city.taito.lg.jp/bunka_kanko/kankoinfo/info/oyakudachi/kankocenter/a-tic-gaiyo.html,+81 3-3842-5566,Tourist attraction,Luggage storage facility,Observation deck,Tourist information center,Wheelchair rental service,Wi-Fi spot,,https://www.google.com/maps/search/?api=1&query=Asakusa%20Culture%20Tourist%20Information%20Center&query_place_id=ChIJr2cNBsGOGGARSX3xfkspQHc,Tourist attraction,"Kaminarimon, 2 Chome−18−9 浅草文化観光センタ, Taito, Tokyo, Japan","Observatoire d'Asakusa, 9, 雷門二丁目, 雷門, 台東区, 東京都, 111-0034, 日本",35.7107006,139.7965515,0
Grand Fountain,4,79,1-6 Hibiyakoen,Chiyoda,Tokyo,JP,https://www.tokyo-park.or.jp/park/format/view037.html,+81 3-3501-6428,Tourist attraction,,,,,,,https://www.google.com/maps/search/?api=1&query=Grand%20Fountain&query_place_id=ChIJr62ciOSLGGARIs6ax4bn-a8,Tourist attraction,"1-6 Hibiyakoen, Chiyoda, Tokyo, Japan","日比谷公園, 千代田区, 東京都, 100-0012, 日本",35.673889,139.756191,0
